,Title,Published_date,views,likes,comments,Month
60,IF ELSE ELIF statement in Python | IF ELSE Statement in Python | Python Tutorial for Beginners #3,2021-01-31,1413,55,10,Jan
61,What is a VARIABLE in Python | Python Variables | Python Tutorial for Beginners #2,2021-01-25,1467,66,14,Jan
62,"What is DATA TYPE, OPERATORS and EXPRESSION in Python | Python Tutorial for Beginners #1",2021-01-18,2433,87,18,Jan
63,How to Install Python on Mac OS and How to Run Python code,2021-01-11,272461,4012,289,Jan
64,Excel Alternative: How to use SQL to perform EXCEL tasks (SQL for Data Analysis),2021-01-03,20649,510,41,Jan
65,iPhone 12 Pro Unboxing | 5 Reasons to BUY iPhone 12 Pro,2020-12-15,1009,35,24,Dec
66,SQL Basics Tutorial for Beginners (Practice SQL Queries),2020-12-11,534190,11784,449,Dec
67,How to install PostgreSQL on Mac OS | Install and Uninstall PostgreSQL Database,2020-11-16,33372,371,77,Nov
68,Learn What is Database | Types of Database | DBMS,2020-08-30,98394,1922,88,Aug
69,Do you need a Smartwatch,2020-07-12,10605,179,46,Jul
70,MacBook Pro 13 2020  One Week Later Review,2020-06-29,1213,70,20,Jun
71,MacBook Pro 13 2020 Unboxing,2020-06-22,1967,85,29,Jun
72,Regular Expressions in Python | Regular Expressions Python Tutorial,2021-04-22,6693,204,52,Apr
73,What is Data Science (for beginners) | Data Science for Beginners | Data Science Life Cycle,2021-04-08,2451,99,10,Apr
74,Best Resume Format | Tips for writing an AWESOME Resume | ATS Resume Format,2021-03-25,74560,2298,160,Mar
75,Dictionary in Python (for beginners) | Python Dictionaries | Python Tutorial #10,2021-03-18,1628,50,7,Mar
76,Lists in Python EXPLAINED | Python Lists | Python Tutorial for Beginners #9,2021-03-11,1335,40,8,Mar
77,Exception Handling in Python | TRY EXCEPT in Python | Python Tutorial for Beginners #8,2021-03-04,3568,112,11,Mar
78,Local and Global Scope in Python | Local and Global Variables | Python Tutorial for Beginners #7,2021-03-01,2016,78,9,Mar
79,What is a FUNCTION in Python | Python Functions | Python Tutorial for Beginners #6,2021-02-22,1314,46,6,Feb
80,Import modules in Python | Import module from different directory | Python Tutorial for beginners #5,2021-02-14,42392,621,80,Feb
81,WHILE loop and FOR loop in Python | LOOP statements in Python | Python Tutorial for Beginners #4,2021-02-07,1884,64,22,Feb
82,IF ELSE ELIF statement in Python | IF ELSE Statement in Python | Python Tutorial for Beginners #3,2021-01-31,1413,55,10,Jan
83,What is a VARIABLE in Python | Python Variables | Python Tutorial for Beginners #2,2021-01-25,1467,66,14,Jan
84,"What is DATA TYPE, OPERATORS and EXPRESSION in Python | Python Tutorial for Beginners #1",2021-01-18,2433,87,18,Jan
85,How to Install Python on Mac OS and How to Run Python code,2021-01-11,272461,4012,289,Jan
86,Excel Alternative: How to use SQL to perform EXCEL tasks (SQL for Data Analysis),2021-01-03,20649,510,41,Jan
87,iPhone 12 Pro Unboxing | 5 Reasons to BUY iPhone 12 Pro,2020-12-15,1009,35,24,Dec
88,SQL Basics Tutorial for Beginners (Practice SQL Queries),2020-12-11,534190,11784,449,Dec
89,How to install PostgreSQL on Mac OS | Install and Uninstall PostgreSQL Database,2020-11-16,33372,371,77,Nov
90,Learn What is Database | Types of Database | DBMS,2020-08-30,98394,1922,88,Aug
91,Do you need a Smartwatch,2020-07-12,10605,179,46,Jul
92,MacBook Pro 13 2020  One Week Later Review,2020-06-29,1213,70,20,Jun
93,MacBook Pro 13 2020 Unboxing,2020-06-22,1967,85,29,Jun
